iter	Passed	Remaining
1309	8825	45071
1310	8832	45063
1311	8838	45056
1312	8845	45047
1313	8851	45040
1314	8857	45029
1315	8864	45023
1316	8871	45017
1317	8878	45011
1318	8884	45002
1319	8890	44991
1320	8897	44983
1321	8903	44977
1322	8910	44970
1323	8917	44963
1324	8923	44954
1325	8930	44946
1326	8936	44938
1327	8943	44932
1328	8951	44930
1329	8958	44926
1330	8964	44918
1331	8971	44910
1332	8977	44900
1333	8984	44894
1334	8991	44887
1335	8997	44881
1336	9004	44876
1337	9011	44867
1338	9016	44855
1339	9023	44850
1340	9029	44836
1341	9036	44829
1342	9042	44819
1343	9048	44812
1344	9055	44805
1345	9061	44794
1346	9067	44785
1347	9073	44774
1348	9080	44767
1349	9087	44763
1350	9093	44756
1351	9100	44748
1352	9106	44739
1353	9113	44731
1354	9120	44726
1355	9127	44720
1356	9133	44712
1357	9141	44708
1358	9147	44699
1359	9154	44693
1360	9160	44685
1361	9166	44675
1362	9172	44664
1363	9179	44661
1364	9186	44653
1365	9192	44644
1366	9199	44638
1367	9205	44629
1368	9212	44624
1369	9219	44617
1370	9226	44612
1371	9233	44604
1372	9239	44595
1373	9245	44586
1374	9252	44579
1375	9259	44575
1376	9266	44569
1377	9272	44558
1378	9279	44551
1379	9285	44545
1380	9292	44536
1381	9298	44528
1382	9304	44517
1383	9310	44508
1384	9317	44503
1385	9324	44495
1386	9331	44488
1387	9337	44482
1388	9344	44473
1389	9350	44465
1390	9357	44459
1391	9365	44457
1392	9371	44448
1393	9377	44438
1394	9383	44429
1395	9389	44420
1396	9396	44414
1397	9403	44406
1398	9409	44399
1399	9416	44393
1400	9423	44388
1401	9430	44379
1402	9436	44373
1403	9443	44365
1404	9450	44359
1405	9457	44352
1406	9463	44344
1407	9470	44339
1408	9477	44333
1409	9483	44323
1410	9490	44320
1411	9497	44313
1412	9504	44306
1413	9510	44296
1414	9516	44287
1415	9522	44279
1416	9529	44271
1417	9535	44262
1418	9543	44258
1419	9549	44251
1420	9556	44244
1421	9562	44235
1422	9569	44228
1423	9573	44210
1424	9580	44203
1425	9586	44196
1426	9594	44191
1427	9601	44186
1428	9607	44179
1429	9614	44171
1430	9622	44171
1431	9629	44166
1432	9635	44155
1433	9642	44149
1434	9648	44142
1435	9655	44134
1436	9661	44125
1437	9668	44122
1438	9675	44116
1439	9682	44109
1440	9688	44100
1441	9695	44094
1442	9701	44085
1443	9708	44078
1444	9715	44071
1445	9721	44063
1446	9728	44056
1447	9734	44047
1448	9741	44043
1449	9747	44033
1450	9754	44026
1451	9760	44017
1452	9767	44009
1453	9773	44001
1454	9780	43993
1455	9786	43984
1456	9792	43976
1457	9799	43970
1458	9806	43964
1459	9813	43958
1460	9820	43953
1461	9826	43944
1462	9834	43941
1463	9840	43934
1464	9847	43927
1465	9853	43918
1466	9860	43912
1467	9866	43904
1468	9874	43900
1469	9881	43893
1470	9886	43882
1471	9893	43874
1472	9899	43864
1473	9906	43858
1474	9912	43851
1475	9919	43846
1476	9926	43838
1477	9932	43830
1478	9938	43821
1479	9945	43812
1480	9952	43806
1481	9959	43803
1482	9966	43796
1483	9972	43788
1484	9980	43785
1485	9987	43782
1486	9994	43775
1487	10001	43768
1488	10008	43764
1489	10014	43756
1490	10021	43750
1491	10028	43744
1492	10035	43737
1493	10042	43731
1494	10049	43725
1495	10055	43718
1496	10061	43709
1497	10068	43703
1498	10075	43697
1499	10082	43689
1500	10088	43683
1501	10096	43679
1502	10102	43671
1503	10109	43664
1504	10116	43656
1505	10122	43649
1506	10129	43641
1507	10135	43634
1508	10142	43628
1509	10149	43622
1510	10156	43616
1511	10163	43609
1512	10169	43603
1513	10176	43596
1514	10183	43590
1515	10190	43585
1516	10198	43582
1517	10205	43580
1518	10212	43571
1519	10218	43565
1520	10226	43561
1521	10232	43552
1522	10239	43547
1523	10246	43540
1524	10253	43533
1525	10259	43527
1526	10266	43520
1527	10273	43515
1528	10280	43507
1529	10286	43499
1530	10293	43491
1531	10299	43485
1532	10307	43480
1533	10313	43474
1534	10320	43466
1535	10326	43456
1536	10332	43449
1537	10339	43440
1538	10345	43433
1539	10352	43426
1540	10358	43417
1541	10365	43411
1542	10372	43405
1543	10378	43397
1544	10385	43392
1545	10391	43382
1546	10399	43380
1547	10407	43376
1548	10413	43370
1549	10420	43362
1550	10427	43357
1551	10433	43348
1552	10440	43342
1553	10447	43335
1554	10452	43323
1555	10459	43316
1556	10466	43310
1557	10471	43298
1558	10477	43289
1559	10485	43284
1560	10492	43278
1561	10498	43272
1562	10505	43266
1563	10512	43260
1564	10518	43251
1565	10526	43247
1566	10533	43244
1567	10541	43241
1568	10548	43236
1569	10554	43228
1570	10562	43224
1571	10569	43219
1572	10576	43214
1573	10583	43210
1574	10591	43206
1575	10599	43203
1576	10606	43199
1577	10614	43196
1578	10621	43191
1579	10629	43189
1580	10636	43185
1581	10643	43178
1582	10650	43173
1583	10657	43167
1584	10664	43161
1585	10672	43159
1586	10679	43156
1587	10687	43152
1588	10694	43147
1589	10701	43143
1590	10709	43139
1591	10716	43135
1592	10723	43130
1593	10731	43127
1594	10738	43123
1595	10745	43117
1596	10752	43111
1597	10759	43105
1598	10765	43096
1599	10772	43089
1600	10779	43083
1601	10785	43075
1602	10792	43067
1603	10798	43060
1604	10805	43053
1605	10812	43046
1606	10818	43039
1607	10825	43032
1608	10832	43026
1609	10838	43019
1610	10844	43009
1611	10851	43002
1612	10857	42994
1613	10864	42987
1614	10871	42980
1615	10877	42972
1616	10884	42964
1617	10891	42958
1618	10898	42952
1619	10904	42946
1620	10911	42939
1621	10918	42932
1622	10924	42925
1623	10931	42918
1624	10937	42910
1625	10943	42900
1626	10950	42894
1627	10956	42885
1628	10963	42878
1629	10970	42871
1630	10976	42862
1631	10983	42858
1632	10990	42852
1633	10997	42845
1634	11004	42838
1635	11010	42830
1636	11017	42825
1637	11024	42817
1638	11030	42810
1639	11037	42803
1640	11043	42796
1641	11050	42788
1642	11057	42781
1643	11064	42776
1644	11071	42770
1645	11077	42762
1646	11084	42755
1647	11090	42747
1648	11097	42740
1649	11104	42734
1650	11111	42729
1651	11118	42722
1652	11124	42715
1653	11130	42705
1654	11136	42695
1655	11143	42688
1656	11150	42682
1657	11156	42675
1658	11163	42668
1659	11170	42662
1660	11176	42655
1661	11183	42648
1662	11190	42642
1663	11196	42633
1664	11203	42626
1665	11209	42617
1666	11216	42611
1667	11223	42606
1668	11230	42601
1669	11237	42595
1670	11244	42590
1671	11251	42582
1672	11258	42577
1673	11265	42571
1674	11271	42564
1675	11278	42557
1676	11284	42547
